date,politician,medical,celebrity
2020-04-30,0.7222222222222222,0.42857142857142855,NA
2020-05-01,-0.16666666666666666,0.45,0.35714285714285715
2020-05-02,-1,0.1111111111111111,NA
2020-05-03,NA,0.5714285714285714,NA
2020-05-04,1,-0.26785714285714285,NA
2020-05-05,-0.36666666666666664,0.2222222222222222,NA
2020-05-06,0.42857142857142855,0.35,NA
2020-05-07,-0.125,0.8571428571428572,1
2020-05-08,-0.05,0.32275132275132273,0.75
2020-05-09,-0.5,0.6,NA
2020-05-10,0,0.23809523809523808,0
2020-05-11,0.4,0.3888888888888889,NA
2020-05-12,0.14285714285714285,-0.08333333333333334,NA
2020-05-13,0.22666666666666666,0.20634920634920634,1
2020-05-14,-0.04166666666666667,0.6190476190476191,NA
2020-05-15,-0.33333333333333337,0.09999999999999999,NA
2020-05-16,NA,0.0017857142857142932,NA
2020-05-17,0.06666666666666665,0.5833333333333333,NA
2020-05-18,1,0.5555555555555556,NA
2020-05-19,0,0.65,NA
2020-05-20,0,0.3979591836734694,NA
2020-05-21,-0.27999999999999997,0.5383597883597884,NA
2020-05-22,0.7777777777777778,0.5333333333333333,NA
2020-05-23,-0.19999999999999998,0.7777777777777778,NA
2020-05-24,-0.6666666666666666,NA,NA
2020-05-25,NA,1,NA
2020-05-26,-0.2,0.5,NA
2020-05-27,-0.22023809523809523,0.43333333333333335,NA
2020-05-28,-0.1532312925170068,-0.04999999999999999,NA
2020-05-29,0.4407407407407407,0.7571428571428571,NA
2020-05-30,-0.5,0.29166666666666663,NA
2020-05-31,0.2606060606060606,0.22448979591836735,NA
2020-06-01,0.3505494505494506,-0.15000000000000002,NA
2020-06-02,-0.1125108225108225,0.49166666666666664,NA
2020-06-03,0.2876190476190476,0.06000000000000001,NA
2020-06-04,-0.06666666666666667,-0.1111111111111111,NA
2020-06-05,0.04,0.4666666666666667,NA
2020-06-06,0.18285714285714286,0.5801587301587302,NA
2020-06-07,0.3333333333333333,0.33333333333333337,NA
2020-06-08,0.7333333333333334,0.4,NA
2020-06-09,0.2568027210884354,-0.15,NA
2020-06-10,0.2,0.5555555555555556,NA
2020-06-11,0.16666666666666669,0.6,NA
2020-06-12,0.28888888888888886,1,NA
2020-06-13,0.375,1,NA
2020-06-14,-0.06666666666666667,NA,NA
2020-06-15,0.2261904761904762,NA,NA
2020-06-16,-0.33730158730158727,1,NA
2020-06-17,0.2828703703703704,0.7916666666666666,NA
2020-06-18,0.20619047619047617,0.4523809523809524,NA
2020-06-19,-0.05,0.6,NA
2020-06-20,0.4444444444444444,0.1261904761904762,NA
2020-06-21,0.17777777777777778,0.43333333333333335,NA
2020-06-22,0.16666666666666666,0.4166666666666667,NA
2020-06-23,0.08333333333333333,0.16,NA
2020-06-24,0.4222222222222222,0.62,NA
2020-06-25,1,-0.1111111111111111,NA
2020-06-26,0.7142857142857143,0.4666666666666667,NA
2020-06-27,NA,0.35,NA
2020-06-28,-0.6,0.3333333333333333,NA
2020-06-29,0.1259259259259259,NA,NA
2020-06-30,0.11666666666666667,0.6666666666666666,NA
2020-07-01,0.039999999999999994,0,NA
2020-07-02,-0.09523809523809523,0.5,NA
2020-07-03,-0.625,0.5,NA
2020-07-04,NA,0.6666666666666666,NA
2020-07-05,NA,1,NA
2020-07-06,0.25,0.5,NA
2020-07-07,0,1,NA
2020-07-08,1,0.6666666666666666,NA
2020-07-09,0.7037037037037037,0.8,1
2020-07-10,-0.2111111111111111,0.13333333333333333,NA
2020-07-11,0.2727272727272727,0.08333333333333333,NA
2020-07-13,0.07809523809523809,0.6666666666666666,NA
2020-07-14,0.5,0.6666666666666666,NA
2020-07-15,-1,0.6666666666666666,NA
2020-07-16,-0.1111111111111111,-0.3333333333333333,0.75
2020-07-17,0.2571428571428571,0.5555555555555556,NA
2020-07-18,0.24571428571428572,0.45,NA
2020-07-19,NA,1,NA
2020-07-20,NA,0.5,NA
2020-07-21,NA,0,NA
2020-07-22,0.6666666666666666,0.15238095238095237,NA
2020-07-23,1.8521787113294035e-17,-0.09523809523809523,1
2020-07-24,NA,0,NA
2020-07-25,-0.022222222222222237,0.3333333333333333,NA
2020-07-26,0,0.5,NA
2020-07-27,1,0.20833333333333331,NA
2020-07-28,0.16666666666666666,0.5466666666666666,NA
2020-07-29,-0.3333333333333333,0.5083333333333333,NA
2020-07-30,0.8,0.6111111111111112,NA
2020-07-31,0,0,NA
2020-08-01,NA,0.12,NA
2020-08-02,-1,-0.07333333333333333,NA
2020-08-03,-0.11111111111111112,0.31666666666666665,NA
2020-08-04,0.13333333333333333,0.5916666666666667,NA
2020-08-05,0.36666666666666664,0.14393939393939395,NA
2020-08-06,0.23888888888888887,-0.10582010582010581,NA
2020-08-07,0.30952380952380953,0.425,NA
2020-08-08,NA,-0.25,NA
2020-08-09,0.09523809523809523,0.2,NA
2020-08-10,0.28888888888888886,0.05555555555555555,NA
2020-08-11,0.2857142857142857,0.4557823129251701,NA
2020-08-12,-0.2507936507936508,0.4,NA
2020-08-13,NA,0.5,NA
2020-08-14,0.7142857142857143,0,NA
2020-08-15,0.10416666666666666,0.09523809523809525,NA
2020-08-16,0.6666666666666666,0,NA
2020-08-17,0.6666666666666666,0.25,NA
2020-08-18,0.44285714285714284,-0.058333333333333334,NA
2020-08-19,0.3333333333333333,0.2724489795918367,NA
2020-08-20,0.26666666666666666,-0.005555555555555564,NA
2020-08-21,-0.5555555555555556,0,NA
2020-08-22,0.6666666666666666,-0.5833333333333334,NA
2020-08-23,0.25,0.19047619047619047,NA
2020-08-24,0.33333333333333337,0.4666666666666667,NA
2020-08-25,0.6666666666666666,0.2422077922077922,NA
2020-08-26,0.2507936507936508,0.2488095238095238,NA
